time,mono_out,pilot_38k,st_diff_raw
180,          0,          x,          x
190,          0,          x,          0
200,          0,          x,          x
210,          0,          x,          x
220,          x,          x,          x
230,          x,          x,          x
240,          x,          x,          x
250,          x,          x,          x
260,          x,          x,          x
270,          x,          x,          x
280,          x,          x,          x
290,          x,          x,          x
300,          x,          x,          x
310,          x,          x,          x
320,          x,          x,          x
330,          x,          x,          x
340,          x,          x,          x
350,          x,          x,          x
360,          x,          x,          x
370,          x,          x,          x
380,        -34,          x,          x
390,        -34,          x,          x
400,        -34,          x,          x
410,        -34,          x,          x
420,        -34,          x,          x
430,        -34,          x,          x
440,        -34,          x,          x
450,        -34,          x,          x
460,       1464,          x,          x
470,       1464,          x,          x
480,       1464,          x,          x
490,       1464,          x,          x
500,       1464,          x,          x
510,       1464,          x,          x
520,       1464,          x,          x
530,       1464,          x,          x
540,       1743,          x,          x
550,       1743,          x,          x
560,       1743,          x,          x
570,       1743,          x,          x
580,       1743,          x,          x
590,       1743,          x,          x
600,       1743,          x,          x
610,       1743,          x,          x
620,       1131,          x,          x
630,       1131,          x,          x
640,       1131,          x,          x
650,       1131,          x,          x
660,       1131,          x,          x
670,       1131,          x,          x
680,       1131,          x,          x
690,       1131,          x,          x
700,       1823,          x,          x
710,       1823,          x,          x
720,       1823,          x,          x
730,       1823,          x,          x
740,       1823,          x,          x
750,       1823,          x,          x
760,       1823,          x,          x
770,       1823,          x,          x
780,       1199,          x,          x
790,       1199,          x,          x
800,       1199,          x,          x
810,       1199,          x,          x
820,       1199,          x,          x
830,       1199,     -47662,          x
840,       1199,    -104361,          x
850,       1199,    -145791,    -206939
860,       1698,    -159727,    -500403
870,       1698,    -141596,    -764122
880,       1698,     -96053,    -889730
890,       1698,     -34989,    -833951
900,       1698,      26928,    -596580
910,       1698,      76838,    -225208
920,       1698,     106238,     169509
930,       1698,     111073,     445795
940,       1552,      90733,     554740
950,       1552,      47703,     529874
960,       1552,     -11684,     394475
970,       1552,     -76523,     191510
980,       1552,    -132437,     -47330
990,       1552,    -165335,    -343383
1000,       1552,    -166419,    -671109
1010,       1552,    -135649,    -899332
1020,       1394,     -81682,    -958372
1030,       1394,     -18352,    -833235
1040,       1394,      40276,    -527902
1050,       1394,      83662,    -119790
